zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
交易利潤,交易利润,Trading Profit,,กำไรจากการซื้อขาย,,4,取引利益,,4,거래 이익,,5,Lợi nhuận giao dịch,,9,"agentUsersDetail.transactionProfitTitle,agentProfitSharing.transactionProfitTitle,agentUserProfitSharingForm.filterPopup.transactionProfitTitle,agentOverview.transactionProfitTitle,agentUserProfitSharingFormList.headerTransactionProfit,agentProfitList.typesTransactionProfit"
其他利潤,其他利润,Other Profit,,กำไรอื่นๆ,,4,その他の利益,,4,다른 이익,,5,Lợi nhuận khác,,9,"agentUsersDetail.otherProfitsTitle,agentProfitSharing.otherProfitsTitle,agentOverview.otherProfitsTitle,agentProfitList.typesOtherProfits"
總利潤,总利润,Total Profit,,กำไรรวม,,3,利益総額,,3,총 이윤,,4,Tổng lợi nhuận,,6,"agentUsersDetail.totalProfitTitle,agentProfitSharing.totalProfitTitle"
刪除成功,删除成功,Deleted successfully,,ลบเรียบร้อยแล้ว,,4,削除されました,,4,성공적으로 삭제되었습니다,,5,Xóa thành công,,9,"agentUsersDetail.deleteSuccess,agentTransactionSetting.deleteSuccess,agentReferralCode.deleteSuccess,agentReferralCodeSearch.deleteSuccess,editAgentReferralCode.deleteSuccess,agentTransactionSettingSearch.deleteSuccess"
刪除失敗,删除失败,Deletion failed,,การลบล้มเหลว,,4,削除に失敗しました,,4,삭제하지 못했습니다,,5,Xóa không thành công,,9,"agentUsersDetail.deleteFailed,agentTransactionSetting.deleteFailed,agentReferralCode.deleteFailed,agentReferralCodeSearch.deleteFailed,agentTransactionSettingSearch.deleteFailed"
點差及手續費,点差及手续费,Spread and Handling Fee,,ค่าธรรมเนียมสเปรดและการจัดการ,,7,ポイントと取り扱い料金,,6,포인트 및 취급 수수료,,8,Giá chênh lệch và phí thực hiện,,13,"agentUsersDetail.distributionHandlingFeeTitle,agentReferralCodeList.distributionHandlingFeeTitle,editAgentReferralCode.distributionHandlingFeeTitle"
修改成功,修改成功,Modified successfully,,แก้ไขเรียบร้อยแล้ว,,4,正常に変更されました,,4,성공적으로 수정되었습니다,,5,Sửa đổi thành công,,9,"agentUsersDetail.editSuccess,agentTransactionSetting.editSuccess,orderModify.modifySuccess,editAgentReferralCode.editSuccess,agentTransactionSettingSearch.editSuccess,positionModify.modifySuccess,chartBollSetting.modifySuccess,chartKdjSetting.modifySuccess,chartMacdSetting.modifySuccess,chartMaSetting.modifySuccess,chartRsiSetting.modifySuccess,chartWrSetting.modifySuccess,chartTypeSetting.modifySuccess,marginCallEditPopup.modifySuccess"
新增,新增,Add,,เพิ่ม,,2,新しく増加します,,2,새로 증가합니다,,2,Thêm mới,,4,"agentUsersDetail.addButton,editAgentReferralCode.addButton"
修改失敗,修改失败,Modification failed,,การแก้ไขล้มเหลว,,4,編集に失敗します,,4,편집 실패,,5,Sửa đổi không thành công,,9,"agentUsersDetail.editFailed,agentTransactionSetting.editFailed,agentTransactionSettingSearch.editFailed,chartBollSetting.modifyFail,chartKdjSetting.modifyFail,chartMacdSetting.modifyFail,chartMaSetting.modifyFail,chartRsiSetting.modifyFail,chartWrSetting.modifyFail,chartTypeSetting.modifyFail,marginCallEditPopup.modifyFail"
查無資料,查无资料,No information found,,ไม่พบข้อมูล,,4,準備ができていない情報,,4,준비되지 않은 정보,,5,Không có thông tin,,9,"agentUsersDetail.emptyTip,agentUserPaymentHistory.emptyTip,userGuideCategory.emptyTip,agentConditionFuturesList.emptyTip,agentTransactionSetting.emptyTip,agentReferralCodeUsers.emptyTip,agentPaymentDetail.emptyTip,agentTransactionSettingSearch.emptyTip,agentFundingDetailsSearch.emptyTip,agentCondition.emptyTip,countryCode.emptyTip,userGuideSection.emptyTip,userGuideArticle.emptyTip"
利潤,利润,Profit,,กำไร,,2,利益,,2,이익,,2,Lợi nhuận,,4,agentUsersDetail.profitTitle
交易概況,交易概况,Transaction Overview,,ภาพรวมธุรกรรม,,4,トランザクションの概要,,4,거래 개요,,5,Tình hình giao dịch,,9,agentUsersDetail.tradingOverviewTitle
利潤損失,利润损失,Loss,,กำไรขาดทุน,,4,利益,,4,이익,,5,Tổn thất lợi nhuận,,9,agentUsersDetail.profitLossTitle
總保證金,总保证金,Total Margin,,มาร์จิ้นรวม,,4,総セキュリティデポジット,,4,총 보증금,,5,Tổng tiền bảo lãnh,,9,agentUsersDetail.totalMargin
股權,股权,Equity,,ทุน,,2,公平,,2,형평성,,2,Vốn chủ sở hữu,,4,agentUsersDetail.equity
總維持保證金,总维持保证金,Total M. Margin,,หลักประกันรักษาสภาพรวม,,7,総メンテナンスデポジット,,6,총 유지 보수 예금,,8,Tổng tiền bảo lãnh được duy trì,,13,agentUsersDetail.totalMaintenanceMargin
交易明細,交易明细,Transaction Details,,รายละเอียดการทำซื้อขาย,,4,トランザクションの詳細,,4,상세 거래 내역,,5,Hóa đơn giao dịch,,9,agentUsersDetail.transactionDetailsButton
申請日期,申请日期,Application Date,,วันที่ทำการยื่นขอ,,4,申請日,,4,신청일,,5,Ngày đăng ký,,9,agentUserPaymentHistory.filterPopup.dateTitle
入金金額區間：{unit} {range},入金金额区间：{unit} {range},Deposit amount range: {unit} {range},,ช่วงจำนวนเงินฝาก: {unit} {range},,8 + ?,交差範囲：{unit} {range},,7 + ?,교차 범위 : {unit} {range},,9 + ?,Khoảng thời gian số nhập tiền: {unit} {range},,15 + ?,"withdraw.withdrawPriceRangeTip,paymentBank.paymentPriceRangeTip"
餘額,馀额,Balance,,สมดุล,,2,バランス,,2,균형,,2,Số dư,,4,withdraw.balanceTitle
全部取出,全部取出,Withdraw All,,ถอนทั้งหมด,,4,すべてを取り出します,,4,모든 것을 꺼내십시오,,5,Lấy ra toàn bộ,,9,withdraw.withdrawAll
需付保證金,需付保证金,Margin Required,,มาร์จิ้นที่ต้องการ,,5,デポジットを支払う必要があります,,5,보증금을 지불해야합니다,,7,Tiền bảo lãnh phải thanh toán,,11,"withdrawThirdParty.feeCollectionRulesPopup.depositRequired,futuresTransaction.totalCostPopup.needMargin,futuresTransaction.needMargin"
手續費收取規則,手续费收取规则,Transaction Fee Rules,,กฎค่าธรรมเนียม,,8,料金請求規則,,7,수수료 요금 청구 규칙,,9,Quy tắc thu phí thực hiện,,15,withdrawThirdParty.feeCollectionRulesPopup.title
提取金額,提取金额,Withdraw Amount,,จำนวนเงินที่ถอน,,4,抽出量,,4,추출 금액,,5,Số tiền lĩnh,,9,withdrawThirdParty.feeCollectionRulesPopup.withdrawalAmount
關閉,关闭,Closed,,ปิด,,2,閉鎖,,2,폐쇄,,2,Đóng,,4,"withdrawThirdParty.feeCollectionRulesPopup.close,accountBlockPopup.closeButton,otherDevicesLoginPopup.closeButton"
相關提示:,相关提示:,Related tips:,,คำแนะนำที่เกี่ยวข้อง:,,5,関連するヒント：,,5,관련 팁 :,,7,Gợi ý liên quan:,,11,"withdrawThirdParty.tipTitle,withdrawBank.tipTitle"
客戶出金所指定之帳號，必需是開戶時所指定之出金銀行帳號。,客户出金所指定之帐号，必需是开户时所指定之出金银行帐号。,The account number specified by the customer for withdrawal must be the account number of the withdrawal bank specified at the time of account opening.,,,,33,顧客の預金によって指定された口座は、口座開設時に指定された銀行口座の口座でなければなりません。,,28,고객의 예금으로 지정된 계정은 계정 개설 시점에 지정된 은행 계좌의 계정이어야합니다.,,39,,,63,withdrawThirdParty.tipContent
帳戶餘額,帐户馀额,Account Balance,,ยอดเงินในบัญชี,,4,勘定残高,,4,계정 잔액,,5,Số dư tài khoản,,9,withdrawThirdParty.accountBalance
請輸入額度,请输入额度,Please enter the quota.,,กรุณาใส่วงเงิน,,5,クォータを入力してください,,5,할당량을 입력하십시오,,7,Vui lòng nhập hạn ngạch,,11,withdrawThirdParty.enterAmount
出金金額最低額度：$,出金金额最低额度：$,Minimum withdrawal amount: $,,,,11,金からの最小金の金額：USD,,10,금에서 금의 최소 금액 : USD,,14,,,22,withdrawThirdParty.minLimitTip
最高單筆出金金額：$,最高单笔出金金额：$,Maximum single withdrawal amount: $,,,,11,最高のシングルゴールド量：USD,,10,가장 높은 단일 금액 : USD,,14,,,22,withdrawThirdParty.maxLimitTip
需支付手續費金額：$,需支付手续费金额：$,Transaction fee to be paid: $,,,,11,支払い額が必要です：USD,,10,지불 금액이 필요합니다 : USD,,14,,,22,"withdrawThirdParty.feeTip,depositThirdParty.feeTip"
說明,说明,Description,,คำอธิบาย,,2,説明します,,2,설명,,2,Giải thích,,4,"withdrawThirdParty.description,depositThirdParty.description"
24小時免費出金次數,24小时免费出金次数,Free Withdrawal times within 24 Hours,,จำนวนครั้งที่สามารถถอนเงินฟรีภายใน 24 ชั่วโมง,,11,24時間の無料の金,,10,24 시간의 무료 금,,14,Số lần xuất tiền miễn phí 24 giờ,,22,withdrawThirdParty.dailyFreeFeeTimes
24小時可出金次數,24小时可出金次数,Withdrawal times within 24 Hours,,จำนวนครั้งที่สามารถถอนเงินภายใน 24 ชั่วโมง,,10,金は24時間で発行できます,,9,금은 24 시간 안에 발행 될 수 있습니다,,12,Số lần có thể xuất tiền 24 giờ,,20,withdrawThirdParty.dailyWithdrawTimes
持倉,持仓,Open,,การเปิดสถานะสัญญา,,2,ポジションを保持します,,2,위치를 잡으십시오,,2,Vị thế để ngỏ,,4,"accountTransaction.tabPosition,positionDetail.positionTag,futuresDetail.bottomSheet.accountPosition"
維持保證金,维持保证金,M. Margin,,หลักประกันรักษาสภาพ,,5,デポジットを維持します,,5,예금을 유지하십시오,,7,Duy trì tiền bảo lãnh,,11,"accountTransaction.maintenanceMargin,walletAssetsPopup.maintenanceMargin,positionDetail.maintenanceMargin"
實時盈虧,实时盈亏,Real-time Profit/Loss,,กำไรหรือขาดทุนตามเวลาจริง,,4,リアルタイムの利益と損失,,4,실시간 이익 및 손실,,5,Lãi lỗ thời gian thực,,9,accountTransaction.dynamicProfitLoss
已平倉,已平仓,Closed,,ตำแหน่งถูกปิด,,3,清算があります,,3,청산이 있습니다,,4,Đã ở vị thế thanh lý,,6,"accountTransaction.tabHistory,transactionHistoryDetail.orderTag"
開倉價以高到低,开仓价以高到低,Open Price from High to Low,,ราคาเปิดจากสูงไปต่ำ,,8,営業価格は高くなります,,7,오프닝 가격은 높거나 낮습니다,,9,Giá mất một vị trí từ cao đến thấp,,15,accountTransaction.positionSortUp2Down
開倉價以低到高,开仓价以低到高,Open Price from Low to High,,ราคาเปิดจากต่ำไปสูง,,8,営業価格は低くなります,,7,오프닝 가격은 낮거나 높습니다,,9,Giá mất một vị trí từ thấp đến cao,,15,accountTransaction.positionSortDown2Up
最久開倉時間,最久开仓时间,Longest Opening Time,,เวลาเปิดทำการนานที่สุด,,7,ポジションを開くのに最も長い時間,,6,포지션을 열 때 가장 긴 시간,,8,Thời gian mất một vị trí lâu nhất,,13,accountTransaction.positionSortOld2New
最近開倉時間,最近开仓时间,Latest Opening Time,,เวลาเปิดทำการล่าสุด,,7,最近オープンした時間,,6,최근에 열린 시간,,8,Thời gian mất một vị trí gần nhất,,13,accountTransaction.positionSortNew2Old
時間-上,时间-上,Time-up,,เวลา-ขึ้น,,4,時間-上,,4,시간 업퍼,,5,Thời gian - Trên,,9,accountTransaction.sortTimeUp
時間-下,时间-下,Time-down,,เวลา-ลง,,4,時間-下,,4,타임 벨로,,5,Thời gian – Dưới,,9,accountTransaction.sortTimeDown
開倉價-上,开仓价-上,Open Price-up,,เปิดราคาขึ้น,,5,オープニングプライスアッパー,,5,가격 업퍼,,7,Giá mất một vị trí – Trên,,11,accountTransaction.sortPriceUp
開倉價-下,开仓价-下,Open Price-Down,,เปิดราคา-ลง,,5,オープニングプライスベロー,,5,가격이 오는 오프닝,,7,Giá mất một vị trí – Dưới,,11,accountTransaction.sortPriceDown
模擬帳戶,模拟帐户,Demo Account,,บัญชีทดลอง,,4,シミュレーションアカウント,,4,시뮬레이션 계정,,5,Tài khoản mô phỏng,,9,accountTransaction.accountSimulation
真實帳戶,真实帐户,Real Account,,บัญชีจริง,,4,実際のアカウント,,4,실제 계정,,5,Tài khoản thực,,9,accountTransaction.accountReal
動態權益,动态权益,Dynamic Equity,,หุ้นไดนามิก,,4,動的な権利,,4,동적 권리,,5,Quyền lợi động thái,,9,accountTransaction.dynamicFunds
保證金水平,保证金水平,Margin Level,,ระดับมาร์จิ้น,,5,マージンレベル,,5,여백 레벨,,7,Mức tiền lảo lãnh,,11,"accountTransaction.marginLevel,walletAssetsPopup.marginLevel"
開倉,开仓,Open Position,,การเปิดสถานะสัญญา,,2,倉庫を開きます,,2,오픈 창고,,2,Mất một vị trí,,4,"positionDetail.openPositionChartTag,agentFundingDetails.openPositionButton"
最新,最新,Latest,,ล่าสุด,,2,,,2,,,2,Mới nhất,,4,positionDetail.nowPriceChartTag
當前價格,当前价格,Current Price,,ราคาปัจจุบัน,,4,現在の価格,,4,현재 가격,,5,Giá trị hiện tại,,9,"positionDetail.lastPriceTitle,futuresDetail.dataTab.nowPrice,orderDetail.lastPriceTitle"
開盤,开盘,Open,,เปิด,,2,オープニング,,2,열리는,,2,Giá mở cửa giao dịch,,4,"positionDetail.openPrice,futuresChart.openPrice,futuresChartFullScreen.openPrice"
方向,方向,Direction,,ทิศทาง,,2,方向,,2,방향,,2,Phương hướng,,4,"positionDetail.tradingDirection,futuresTransaction.tradingDirection,orderDetail.tradingDirection,cancelOrderConfirmPopup.tradingDirection"
手數,手数,Quantity of Lots,,จำนวนล็อต,,2,番号,,2,숫자,,2,Số lượt,,4,"positionDetail.lots,futuresTransaction.lots"
交易時間,交易时间,Trading Hours,,เวลาการซื้อขาย,,4,トランザクション時間,,4,거래 시간,,5,Thời gian giao dịch,,9,positionDetail.createDate
交易綜合費,交易综合费,Transaction Fees,,ค่าธรรมเนียมธุรกรรม,,5,包括的な取引料,,5,포괄적 인 거래 수수료,,7,Phí tổng hợp giao dịch,,11,"positionDetail.fee,transactionHistoryDetail.fee,futuresTransaction.totalCostPopup.transactionAllFee"
修改,修改,Modify,,แก้ไข,,2,改訂,,2,개정하다,,2,Sửa đổi,,4,"positionDetail.modifyButton,orderDetail.modifyButton"
未設置,未设置,Unset,,ยังไม่ได้ตั้งค่า,,3,設定されていません,,3,설정되지 않았습니다,,4,Chưa thiết lập,,6,"positionDetail.stopProfitLossEmpty,positionDetail.trailingStopEmpty,transactionHistoryDetail.stopProfitLossEmpty,transactionHistoryDetail.trailingStopEmpty,orderDetail.stopProfitLossEmpty,orderDetail.trailingStopEmpty,numberInputField.defaultHint"
數量,数量,Quantity,,ปริมาณ,,2,量,,2,수량,,2,Số lượng,,4,"positionDetail.tableLotsTitle,futuresTransaction.marketOrderPopup.lots,futuresTransaction.limitOrderPopup.lots,orderDetail.lotsTitle,cancelOrderConfirmPopup.lots"
當前價值,当前价值,Current Value,,มูลค่าปัจจุบัน,,4,現在の価値,,4,현재 가치,,5,Giá trị hiện tại,,9,positionDetail.currentPositionValue
平倉手數超過持有手數,平仓手数超过持有手数,The number of closed lots exceeds lots held.,,จำนวนล็อตที่ปิดแล้วเกินกว่าล็อตที่ถืออยู่,,11,手虫の数は、所有者の数を超えています,,10,수제 수는 홀더 수를 초과합니다,,14,Số lượt vị thế thanh lý vượt quá số lượt sở hữu,,22,positionDetail.closePositionLotsOutRange
確認平倉,确认平仓,Confirm to Close,,ยืนยันตำแหน่งปิด,,4,清算を確認します,,4,청산을 확인하십시오,,5,Xác nhận vị thế thanh lý,,9,positionDetail.confirmClosePosition
開倉數量,开仓数量,Opening quantity,,จำนวนตำแหน่งเปิด,,4,オープンウェアハウスの数,,4,열린 창고 수,,5,Số lượng mất một vị trí,,9,positionDetail.openPositionLots
平倉數量,平仓数量,Closing quantity,,จำนวนตำแหน่งปิด,,4,清算の数,,4,청산 수,,5,Số lượng vị thế thanh lý,,9,positionDetail.closePositionLots
(可輸入數量 {range}),(可输入数量 {range}),(Quantity to be entered {range}),,(จำนวนที่จะป้อน {range}),,8 + ?,（入力数量{range}）,,7 + ?,(입력 수량 {range}),,9 + ?,(Có thể nhập số lượng {range}),,15 + ?,positionDetail.lotsInputTip
"持倉異動, 請重新進入","持仓异动, 请重新进入",Open position has changed. Please re-enter.,,ตำแหน่งที่เปิดมีการเปลี่ยนแปลง กรุณาเข้าใหม่,,10,ポジションを保持して、もう一度入力してください,,9,위치를 잡고 다시 입력하십시오,,12,"Thay đổi vị thế để ngỏ, vui lòng vào lại",,20,positionDetail.positionChanged
現價,现价,Current Price,,ราคาปัจจุบัน,,2,現在の価格,,2,현재 가격,,2,Giá hiện tại,,4,positionDetail.lastPriceChartTag
讀取中,读取中,Loading,,กำลังโหลด,,3,読み込み,,3,로딩,,4,Đang đọc,,6,"positionDetail.marginLoading,positionDetail.maintenanceMarginLoading,positionDetail.feeLoading"
--,--,--,,--,,2, - ,,2,-,,2,--,,4,positionDetail.rolloverEmpty
開倉價值,开仓价值,Open Value,,เปิดมูลค่า,,4,オープンポジション値,,4,열린 위치 값,,5,Giá trị mất một vị trí,,9,"positionDetail.openPositionValue,transactionHistoryDetail.openPositionValue"
24h量,24h量,24h Volume,,ปริมาณ 24 ชั่วโมง,,4,24時間の量,,4,24 시간 수량,,5,Lượng 24h,,9,positionDetail.quantity24h
淨值保證金,净值保证金,Net margin,,,,5,,,5,,,7,,,11,positionDetail.netWorthMargin
浮動淨盈虧,浮动净盈亏,P/L,,กำไรขาดทุนสุทธิลอยตัว,,5,,,5,,,7,Lãi lỗ ròng thay đổi,,11,positionDetail.netProfitLoss
平倉淨盈虧,平仓净盈亏,Net realised P/L,,กำไร/ขาดทุนสุทธิจากสถานะการปิดบัญชี,,5,倉庫の純利益と損失,,5,창고 순이익 및 손실,,7,Lãi lỗ ròng vị thế thanh lý,,11,transactionHistoryDetail.netProfitLoss
平倉價值,平仓价值,Closeout Value,,มูลค่าส่วนลด,,4,ポジショニング値,,4,포지셔닝 값,,5,Giá trị vị thế thanh lý,,9,transactionHistoryDetail.closePositionValue
平倉價,平仓价,Closeout Value,,,,3,ポジショニング価格,,3,포지셔닝 가격,,4,,,6,transactionHistoryDetail.closePositionPriceTitle
開倉方向,开仓方向,Direction,,,,4,,,4,,,5,,,9,transactionHistoryDetail.tradingDirection
交易保證金,交易保证金,Trading Margin,,มาร์จิ้นการซื้อขาย,,5,取引デポジット,,5,거래 예금,,7,Tiền bảo lãnh giao dịch,,11,futuresTransaction.totalCostPopup.transactionMargin
合計支付,合计支付,Total Payment,,การชำระเงินทั้งหมด,,4,お支払い総額,,4,총 지불,,5,Tổng cộng thanh toán,,9,futuresTransaction.totalCostPopup.transactionTotalTitle
總計（元）,总计（元）,Total Amount (dollar),,จำนวนเงินทั้งหมด (ดอลลาร์),,5,合計（元）,,5,총 (위안),,7,Tổng cộng (tệ),,11,futuresTransaction.totalCostPopup.totalValue
建立日期,建立日期,Create Date,,วันที่สร้าง,,4,設立日,,4,설립 날짜,,5,Ngày lập,,9,"futuresTransaction.marketOrderPopup.createDate,futuresTransaction.limitOrderPopup.createDate"
商品,商品,Commodity,,รายการ,,2,商品,,2,제품,,2,Sản phẩm,,4,"futuresTransaction.marketOrderPopup.futuresNameTitle,futuresTransaction.limitOrderPopup.futuresNameTitle,agentProfitSharing.filterPopup.itemsTitle"
市價,市价,Market Price,,ราคาตลาด,,2,市場価格,,2,시장 가격,,2,Giá thị trường,,4,"futuresTransaction.marketOrderPopup.marketPrice,agentProfitList.typesMarketPrice"
交易模式,交易模式,Trade Mode,,โหมดการค้า,,4,トランザクションモード,,4,트랜잭션 모드,,5,Chế độ giao dịch,,9,futuresTransaction.marketOrderPopup.transactionMode
限價,限价,Price Limit,,ขีดจำกัดราคา,,2,価格を制限します,,2,제한 가격,,2,Giá giới hạn,,4,futuresTransaction.limitOrderPopup.limitPrice
市場關閉－僅接受掛單交易,市场关闭－仅接受挂单交易,The market is closed－only orders are accepted.,,ตลาดปิด - ยอมรับเฉพาะคำสั่งซื้อเท่านั้น,,14,市場のシャットダウン - 注文取引を受け入れます,,12,시장 셧다운 -주문 거래 수락 전용,,16,Đóng thị trường – Chỉ nhận giao dịch Đơn treo,,27,"futuresTransaction.marketClose,futuresDetail.marketClose"
止損須在限制範圍內,止损须在限制范围内,Stop loss must be within the limit.,,การหยุดการขาดทุนต้องอยู่ภายในขีดจำกัด,,10,停止損失は、制限の範囲内でなければなりません,,9,중지 손실은 제한 범위 내에 있어야합니다,,12,Chốt lỗ phải trong phạm vi giới hạn,,20,"futuresTransaction.errorStopLossOutRange,orderModify.errorStopLossOutRange,positionModify.errorStopLossOutRange"
止盈須在限制範圍內,止盈须在限制范围内,Take profit must be within the limit.,,ทำกำไรต้องอยู่ภายในขอบเขต,,10,停止は制限の範囲内でなければなりません,,9,중단은 제한 범위 내에 있어야합니다,,12,Chốt lãi phải trong phạm vi giới hạn,,20,"futuresTransaction.errorStopProfitOutRange,orderModify.errorStopProfitOutRange,positionModify.errorStopProfitOutRange"
手數須在限制範圍內,手数须在限制范围内,Trading lots must be within the limit.,,ล็อตการซื้อขายต้องอยู่ภายในขีดจำกัด,,10,手の数は限界範囲内でなければなりません,,9,손의 수는 한계 범위 내에 있어야합니다.,,12,Số lượt phải trong phạm vi giới hạn,,20,futuresTransaction.errorLotsOutRange
預估虧損,预估亏损,Projected Loss,,ยอดขาดทุนที่คาดการณ์ไว้,,4,推定損失,,4,예상 손실,,5,Lỗ dự tính,,9,"futuresTransaction.estimateLoss,orderModify.estimateLoss,positionModify.estimateLoss"
預估盈利,预估盈利,Projected Profit,,ยอดกำไรที่คาดการณ์,,4,推定収益性,,4,예상 수익성,,5,Lãi dự tính,,9,"futuresTransaction.estimateProfit,orderModify.estimateProfit,positionModify.estimateProfit"
尚未輸入限價,尚未输入限价,You have not entered a price limit.,,คุณยังไม่ได้ป้อนขีดจำกัดราคา,,7,価格制限を入力していません,,6,가격 제한을 입력하지 않습니다,,8,Chưa nhập giá giới hạn,,13,futuresTransaction.errorLimitPriceEmpty
限價須在限制範圍內,限价须在限制范围内,The price limit must be within the limit.,,ราคาต้องอยู่ภายในวงเงิน,,10,価格制限は制限の範囲内でなければなりません,,9,가격 제한은 제한 범위 내에 있어야합니다.,,12,Giá giới hạn phải trong phạm vi giới hạn,,20,futuresTransaction.errorLimitPriceOutRange
掛單設定成功,挂单设定成功,Order set successfully,,ตั้งค่าคำสั่งซื้อเรียบร้อยแล้ว,,7,成功設定,,6,성공 설정,,8,Thiết lập Đơn treo thành công,,13,futuresTransaction.createLimitOrderSuccess
開倉成功,开仓成功,Position opened successfully,,เปิดเรียบร้อยแล้ว,,4,オープニングが成功しました,,4,성공적인 오프닝,,5,Mất một vị trí thành công,,9,futuresTransaction.createMarketOrderSuccess
明細,明细,Details,,รายละเอียด,,2,明細,,2,세부 사항,,2,Hóa đơn,,4,futuresTransaction.transactionAmountDetail
市價單,市价单,Market Order,,คำสั่งของตลาด,,3,市場価格表,,3,시장 가격 목록,,4,Đơn giá thị trường,,6,futuresTransaction.marketOrderTag
限價單,限价单,Limit Order,,จำกัดการสั่งซื้อ,,3,制限リスト,,3,제한 목록,,4,Đơn giá giới hạn,,6,futuresTransaction.limitOrderTag
當價格滿足條件時{action},当价格满足条件时{action},{action} When price is,,เมื่อราคาเป็นไปตามเงื่อนไข {action},,9 + ?,価格が条件を満たしているとき{action},,8 + ?,가격이 조건을 충족 할 때 {action},,11 + ?,Khi giá cả thỏa mãn điều kiện {action},,18 + ?,futuresTransaction.limitSelectorTitle
請輸入掛單價格,请输入挂单价格,Please enter an order price.,,กรุณากรอกราคาสั่งซื้อ,,8,ハンギングオーダー価格を入力してください,,7,매달린 주문 가격을 입력하십시오,,9,Vui lòng nhập giá cả Đơn treo,,15,futuresTransaction.limitOrderInputTip
當前僅可接受掛單交易,当前仅可接受挂单交易,Only order transactions are accepted currently.,,ยอมรับเฉพาะธุรกรรมการสั่งซื้อเท่านั้น,,11,現在、容認できる注文のみを受け入れることができます,,10,현재 허용되는 주문 만 수락 할 수 있습니다,,14,Hiện tại chỉ có thể nhận giao dịch Đơn treo,,22,futuresTransaction.lockLimitOrderToast
槓桿,杠杆,Leverage,,Leverage,,2,レバー,,2,지렛대,,2,Đòn bẩy,,4,futuresTransaction.lever
交易手數,交易手数,Quantity of Lots,,จำนวนล็อต,,4,取引の数,,4,거래 손의 수,,5,Số lượt giao dịch,,9,futuresTransaction.transactionLots
價值,价值,Value,,ค่า,,2,価値,,2,값,,2,Giá trị,,4,"futuresTransaction.futuresValuePrefix,orderDetail.currentValueTitle"
確認賣出,确认卖出,Confirm Sell,,ยืนยันการขาย,,4,販売を確認してください,,4,판매를 확인하십시오,,5,Xác nhận bán ra,,9,futuresTransaction.confirmSellOut
確認買入,确认买入,Confirm Buy,,ยืนยันการซื้อ,,4,購入を確認します,,4,구매 확인,,5,Xác nhận mua vào,,9,futuresTransaction.confirmBuyIn
保證金餘額不足,保证金馀额不足,Insufficient Margin Balance,,มาร์จิ้นบาลานซ์ไม่เพียงพอ,,8,マージンバランスが不十分です,,7,마진 균형이 충분하지 않습니다,,9,Số dư tiền bảo lãnh không đủ,,15,futuresTransaction.marginNotEnoughPopup.title
立即入金,立即入金,Deposit Now,,ฝากเงิน,,4,代わりに今,,4,대신 지금,,5,Nhập tiền tức thời,,9,futuresTransaction.marginNotEnoughPopup.paymentImmediate
交易數量已達上限,交易数量已达上限,The transactions have reached the upper limit.,,ธุรกรรมถึงขีดจำกัดแล้ว,,9,トランザクションの数が上限に達しました,,8,거래 수는 상한에 도달했습니다,,11,Số lượng giao dịch đã đạt giới hạn tối đa,,18,futuresTransaction.limitReachedPopup.title
"目前交易數量已達上限
無法進行交易，請稍候再試","目前交易数量已达上限
无法进行交易，请稍候再试","The current transactions have reached the upper limit. 
You are unable to trade. Please try again later.",,"ธุรกรรมปัจจุบันถึงขีดจำกัดบนแล้ว
 คุณไม่สามารถซื้อขายได้ โปรดลองอีกครั้งในภายหลัง",,25,"現在のトランザクション数が制限に達しました
取引できません、もう一度やり直してください",,22,"현재 거래 수가 한도에 도달했습니다
거래 할 수 없습니다. 다시 시도하십시오",,30,"Hiện tại số lượng giao dịch đã đạt giới hạn tối đa
 Không thể tiến hành giao dịch, vui lòng chờ thử lại sau",,49,futuresTransaction.limitReachedPopup.content
無法切換為{tradeMode}模式,无法切换为{tradeMode}模式,Unable to switch to {tradeMode} mode,,ไม่สามารถเปลี่ยนเป็นโหมด {tradeMode} ได้,,8 + ?,{tradeMode}モードに切り替えることはできません,,7 + ?,{tradeMode} 모드로 전환 할 수 없습니다,,9 + ?,Không thể chuyển sang chế độ {tradeMode},,15 + ?,futuresTransaction.descriptionBevelConfirmPopup.title
需要無倉位、無當前持倉。才能夠切換，請立即前往倉位進行平倉,需要无仓位丶无当前持仓。才能够切换，请立即前往仓位进行平仓,Switching is allowed when there is no open or current positions.  Please close all the positions immediately.,,อนุญาตให้สลับได้เมื่อไม่มีตำแหน่งหรือสัญญาที่เปิดอยู่ กรุณาทำการปิดตำแหน่งหรือสถานะสัญญาทั้งหมดทันที,,34,位置も現在の位置もありません。切り替えるだけで、すぐに位置に行き、位置を閉じてください,,29,위치가없고 현재 위치가 없습니다. 전환하기 만하면 위치를 닫으려면 즉시 위치로 이동하십시오.,,40,"Phải không có vị thế, không có vị thế để ngỏ hiện tại, mới có thể chuyển đổi, vui lòng lập tức vào vị thế để tiến hành vị thế thanh lý.",,65,futuresTransaction.descriptionBevelConfirmPopup.content
前往倉位,前往仓位,Go to Position,,ไปยังตำแหน่ง,,4,ポジションに移動します,,4,위치로 이동하십시오,,5,Vào vị thế,,9,futuresTransaction.descriptionBevelConfirmPopup.confirmText
