zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
在逐倉保證金下，一定數量保證金被分配到倉位上，可手動調整倉位保證金。如果倉位保證金虧損到低於維持保證金水平，倉位將會被強平。在強制平倉的狀況下，您可能會損失起始保證金和加入到此倉位的追加保證金。,在逐仓保证金下，一定数量保证金被分配到仓位上，可手动调整仓位保证金。如果仓位保证金亏损到低于维持保证金水平，仓位将会被强平。在强制平仓的状况下，您可能会损失起始保证金和加入到此仓位的追加保证金。,"Under isolated margin mode, a certain amount of margin is allocated to the position, and the margin can be adjusted manually. Open positions will be liquidated if the position margin is below the maintenance margin level. In the case of forced liquidation, you may lose the initial margin and the additional margin added to this position.",,ภายใต้ตำแหน่งของการวางตำแหน่งระยะขอบที่กำหนดจะถูกกำหนดให้กับตำแหน่งและสามารถปรับระยะขอบตำแหน่งได้ด้วยตนเอง หากตำแหน่งของตำแหน่งของตำแหน่งต่ำกว่าระดับเงินฝากการบำรุงรักษาตำแหน่งจะแข็งแกร่ง ในกรณีของการชำระบัญชีบังคับคุณอาจสูญเสียอัตรากำไรขั้นต้นและอัตรากำไรขั้นต้นเพิ่มเติมที่เพิ่มไปยังตำแหน่งนี้,,114,ポジショニングの位置の下で、一定量のマージンが位置に割り当てられ、位置マージンを手動で調整できます。位置の位置の位置がメンテナンス預金レベルよりも低い場合、位置は強くなります。強制清算の場合、この位置に追加されるスタートマージンと追加のマージンを失う可能性があります。,,97,"포지셔닝 위치 하에서 일정량의 마진이 위치에 할당되고 위치 여백을 수동으로 조정할 수 있습니다. 위치의 위치가 유지 보수 예금 수준보다 낮 으면 위치가 강할 것입니다. 의무 청산의 경우, 시작 마진 과이 위치에 추가되는 추가 마진을 잃을 수 있습니다.",,135,"Theo vị trí của định vị, một lượng biên độ nhất định được gán cho vị trí và biên độ vị trí có thể được điều chỉnh bằng tay. Nếu vị trí của vị trí của vị trí thấp hơn mức tiền gửi bảo trì, vị trí sẽ mạnh. Trong trường hợp thanh lý bắt buộc, bạn có thể mất biên độ bắt đầu và biên độ bổ sung thêm vào vị trí này.",,218,tradeModePopup.contentDescription2
確定,确定,Confirm,,แน่นอน,,2,もちろん,,2,확신하는,,2,Chắc chắn rồi,,4,tradeModePopup.button
新增推薦碼,新增推荐码,Add Referral Code,,เพิ่มรหัสคำแนะนำ,,5,推奨コードを追加しました,,5,추천 코드가 추가되었습니다,,7,Đã thêm mã khuyến nghị,,11,"accountData.referralAddButton,referralCodeBind.addButton,editAgentReferralCode.addReferralCodeTitle"
無,无,None,,ไม่มี,,1,なし,,1,없음,,1,không ai,,2,"accountData.referralCodeHint,futuresAlert.enterPriceHint"
驗證Email,验证Email,Verify Email,,ตรวจสอบอีเมล์,,8,Eメールを確認します,,7,이메일을 확인하십시오,,9,Xác nhận Email,,15,"accountData.emailVerifyButton,emailBind.appBarTitle"
尚未設定,尚未设定,Not set up yet,,ไม่ได้ตั้งค่าเพิ่มเติม,,4,尚未設定,,4,또한 설정되지 않습니다,,5,Không được đặt ngoài ra,,9,"accountData.phoneHint,accountData.emailHint"
手機號碼,手机号码,Mobile Number,,หมายเลขโทรศัพท์มือถือ,,4,携帯番号,,4,핸드폰 번호,,5,Số điện thoại di động,,9,accountData.phoneTitle
驗證手機,验证手机,Verify Mobile Number,,ตรวจสอบโทรศัพท์มือถือ,,4,携帯電話を確認します,,4,휴대 전화를 확인하십시오,,5,Xác minh điện thoại di động,,9,accountData.phoneVerifyButton
Email,Email,Email,,อีเมล,,5,Eメール,,5,이메일,,7,E-mail,,11,"accountData.emailTitle,forgotPassword.email"
真實姓名,真实姓名,Real Name,,ชื่อจริง,,4,実際の名前,,4,실제 이름,,5,Tên thực tế,,9,"applyAgent.realName,accountIdentifyData.actualNameTitle,personalVerify.realNameTitle"
申請成功,申请成功,Application Successful,,แอปพลิเคชันที่ประสบความสำเร็จ,,4,成功したアプリケーション,,4,성공적인 응용 프로그램,,5,Ứng dụng thành công,,9,applyAgent.applySuccess
申請審核預計會需要,申请审核预计会需要,An application for review takes,,คาดว่าจะมีการตรวจสอบแอปพลิเคชัน,,10,アプリケーションのレビューが必要になると予想されます,,9,응용 프로그램 검토가 필요할 것으로 예상됩니다,,12,Đánh giá ứng dụng dự kiến ​​sẽ là cần thiết,,20,applyAgent.daysAuditingExpectedHintPart1
3~5,3~5,3~5,,3 ~ 5,,3,3〜5,,3,3 ~ 5,,4,3 ~ 5,,6,applyAgent.daysAuditingExpectedHintPart2
"個工作天。
申請通過後，將會主動通知，就可以使用 APP 內的代理前台來邀請用戶並開始交易。","个工作天。
申请通过后，将会主动通知，就可以使用 APP 内的代理前台来邀请用户并开始交易。","
working days. You will be notified after the application is approved. Then you can use the agent front desk in the APP to invite users and start trading.",,"วันทำงาน
หลังจากที่แอปพลิเคชันได้รับการอนุมัติคุณจะใช้ความคิดริเริ่มเพื่อแจ้งให้ผู้ใช้ทราบในแอพเพื่อเชิญผู้ใช้และเริ่มการซื้อขาย",,50,"営業日。
アプリケーションが承認された後、アプリのユーザーに通知してユーザーを招待して取引を開始するイニシアチブを取得します。",,43,"근무일.
응용 프로그램이 승인 된 후에는 앱의 사용자에게 사용자를 초대하고 거래를 시작하기 위해 이니셔티브를 취합니다.",,60,"Một ngày làm việc.
Sau khi ứng dụng được chấp thuận, bạn sẽ chủ động thông báo cho người dùng trong ứng dụng để mời người dùng và bắt đầu giao dịch.",,96,applyAgent.daysAuditingExpectedHintPart3
回到個人設定,回到个人设定,Return to Personal Settings,,กลับไปที่การตั้งค่าส่วนบุคคล,,7,個人的な設定に戻ります,,6,개인 설정으로 돌아갑니다,,8,Quay lại cài đặt cá nhân,,13,applyAgent.backPersonalSettingsButton
申請完成,申请完成,Application Completed,,สมัครเพื่อเสร็จสิ้น,,4,完了に応募します,,4,완료하려면 적용하십시오,,5,Áp dụng để hoàn thành,,9,applyAgent.applicationCompleteTitle
送出申請,送出申请,Send Application,,ส่งใบสมัคร,,4,アプリケーションを送信します,,4,신청서를 보내십시오,,5,Gửi một ứng dụng,,9,applyAgent.sendApplyButton
聯絡電話,联络电话,Contact Number,,หมายเลขโทรศัพท์ติดต่อ,,4,連絡先の電話番号,,4,연락처 전화 번호,,5,Số điện thoại liên hệ,,9,applyAgent.contactPhoneTitle
請輸入聯絡電話,请输入联络电话,Please enter your contact number.,,กรุณากรอกหมายเลขโทรศัพท์ติดต่อ,,8,連絡先電話番号を入力してください,,7,연락처 전화 번호를 입력하십시오,,9,Vui lòng nhập số điện thoại liên hệ,,15,applyAgent.enterContactPhoneHint
微信,微信,WeChat,,Wechat,,2,wechat,,2,Wechat,,2,WeChat,,4,applyAgent.wechatTitle
請輸入微信,请输入微信,Please enter your WeChat.,,โปรดป้อน weChat,,5,WeChatを入力してください,,5,WeChat을 입력하십시오,,7,Vui lòng nhập WeChat,,11,applyAgent.wechatHint
Line ID,Line ID,Line ID,,ID บรรทัด,,7,行ID,,6,라인 ID,,8,Số dòng,,13,applyAgent.lineIdTitle
請輸入Line ID,请输入Line ID,Please enter your Line ID.,,กรุณากรอกรหัสบรรทัด,,10,行IDを入力してください,,9,라인 ID를 입력하십시오,,12,Vui lòng nhập ID dòng,,20,applyAgent.lineIdHint
立刻申請成為代理,立刻申请成为代理,Apply now to become an agent,,สมัครเป็นตัวแทนทันที,,9,エージェントとしてすぐに適用します,,8,에이전트로 즉시 적용하십시오,,11,Áp dụng ngay lập tức như một đại lý,,18,applyAgent.applyAgentImmediatelyButton
授權夥伴與我們共享成功果實。前端服務品質至關重要，因此我們只會與夥伴合作完成此項任務。,授权伙伴与我们共享成功果实。前端服务品质至关重要，因此我们只会与伙伴合作完成此项任务。,"Our partners are authorized to share the fruits of success with us. The quality of front-end service is very important, so we will only work with our partners to complete this task.",,พันธมิตรที่ได้รับอนุญาตแบ่งปันผลไม้ที่ประสบความสำเร็จกับเรา คุณภาพของบริการด้านหน้าเป็นสิ่งสำคัญดังนั้นเราจะร่วมมือกับพันธมิตรของเราเพื่อทำงานนี้ให้สำเร็จ,,50,認可されたパートナーは、成功した果物を私たちと共有しています。フロントエンドサービスの品質は重要であるため、このタスクを完了するためにパートナーとのみ協力します。,,43,공인 파트너는 성공적인 과일을 우리와 공유합니다. 프론트 엔드 서비스의 품질은 중요 하므로이 작업을 완료하기 위해 파트너와 협력 할 것입니다.,,60,"Các đối tác được ủy quyền chia sẻ trái cây thành công với chúng tôi. Chất lượng của dịch vụ mặt trận là rất quan trọng, vì vậy chúng tôi sẽ chỉ hợp tác với các đối tác của mình để hoàn thành nhiệm vụ này.",,96,applyAgent.applyAgentTip
可以在短邊推測,可以在短边推测,You can speculat on the short side,,สามารถคาดเดาได้ทางด้านสั้น,,8,短い面で推測することができます,,7,짧은 쪽에서 추측 할 수 있습니다,,9,Có thể được suy đoán ở phía ngắn,,15,applyAgent.medalTitle1
獲得更多收益,获得更多收益,to gain more profits,,รับประโยชน์เพิ่มเติม,,7,より多くのメリットを得る,,6,더 많은 혜택을 얻으십시오,,8,Nhận thêm lợi ích,,13,applyAgent.medalTitle2
降低風險,降低风险,and reduce risk.,,ลดความเสี่ยง,,4,リスクを減らします,,4,위험을 줄입니다,,5,giảm rủi ro,,9,applyAgent.medalTitle3
代理條件,代理条件,Terms of Agency,,สภาพพร็อกซี,,4,プロキシ条件,,4,프록시 조건,,5,Điều kiện proxy,,9,"agentSetting.agentCondition,agentCondition.appBarTitle"
代理資金明細,代理资金明细,Agency Funds Details,,รายละเอียดกองทุนตัวแทน,,7,エージェントファンドの詳細,,6,에이전트 펀드 세부 사항,,8,Chi tiết quỹ đại lý,,13,agentSetting.agentPaymentDetail
全部,全部,All,,ทั้งหมด,,2,全て,,2,모두,,2,tất cả các,,4,"achievementsLevel.filter.typesAll,agentProfitList.typesAll"
未完成,未完成,Unfinished,,ยกเลิก,,3,元に戻す,,3,푼,,4,hoàn tác,,6,achievementsLevel.filter.typesUndone
未領取,未领取,Unclaimed,,ไม่ได้รับ,,3,無アカリミー,,3,비정상적인,,4,không chính xác,,6,achievementsLevel.filter.typesNotReceived
已領取,已领取,Received,,ได้รับ,,3,受け取った,,3,받았다,,4,Đã nhận được,,6,"achievementsLevel.filter.typesReceived,achievementsLevelList.typesReceived"
成就獎勵領取僅限「真實賬戶」交易行為,成就奖励领取仅限“真实账户”交易行为,Achievement rewards are only available for transactions in real accounts.,,"การรวบรวมรางวัลความสำเร็จนั้น จำกัด อยู่ที่พฤติกรรมการทำธุรกรรม ""บัญชีจริง""",,21,達成報酬のコレクションは、「実際のアカウント」トランザクション動作に限定されています,,18,"Achievement Reward Collection은 ""실제 계정""거래 동작으로 제한됩니다.",,25,"Bộ sưu tập phần thưởng thành tích được giới hạn trong hành vi giao dịch ""Tài khoản thực""",,40,"achievementsLevel.rewardTip,referralCodeShare.headerTip"
尚無成就任務,尚无成就任务,No achievement tasks yet,,ไม่มีภารกิจความสำเร็จ,,7,達成タスクなし,,6,성취 과제가 없습니다,,8,Không có nhiệm vụ thành tích,,13,achievementsLevel.emptyTip
一鍵領\n取獎勵,一键领\n取奖励,Click to Receive \n Rewards,,ปลอกคอหนึ่ง -click \ n เพื่อรับรางวัล,,9,1つのカラーをクリックして、報酬を得る,,8,하나 -Click Collar \ n 보상을 받으십시오,,11,Vòng cổ một -Click \ n để nhận phần thưởng,,18,"achievementsLevel.pickUpAllButton,dailyMission.pickUpAllButton"
無可領取獎勵,无可领取奖励,No rewards available,,ไม่สามารถรับรางวัลได้,,7,報酬を受け取れません,,6,보상을받을 수 없습니다,,8,Không thể nhận được phần thưởng,,13,"achievementsLevel.noRewardAvailable,dailyMission.noRewardAvailable"
領取獎勵失敗,领取奖励失败,Failed to claim rewards,,รับรางวัลล้มเหลว,,7,報酬を受け取るには失敗しました,,6,보상을받지 못했습니다,,8,Nhận phần thưởng không thành công,,13,"achievementsLevel.rewardFailed,dailyMission.rewardFailed"
前往交易,前往交易,Trade Now,,ไปที่ธุรกรรม,,4,トランザクションに移動します,,4,거래로 이동하십시오,,5,Đi đến giao dịch,,9,achievementsLevel.goTradeButton
可使用獎勵,可使用奖励,Rewards Available,,รางวัลที่มีอยู่,,5,利用可能な報酬,,5,사용 가능한 보상,,7,Phần thưởng có sẵn,,11,award.tabAvailable
歷史獎勵,历史奖励,Reward History,,รางวัลประวัติศาสตร์,,4,歴史的な報酬,,4,역사적 보상,,5,Phần thưởng lịch sử,,9,award.tabHistory
獎勵來源,奖励来源,Source of Rewards,,แหล่งรางวัล,,4,報酬ソース,,4,보상 출처,,5,Nguồn thưởng,,9,awardList.source
領取時間,领取时间,Collection Time,,รับเวลา,,4,受信時間,,4,시간을받습니다,,5,Nhận thời gian,,9,awardList.pickUpTime
使用期限,使用期限,Validity Period,,ระยะเวลาการใช้งาน,,4,使用期間,,4,사용 기간,,5,Thời gian sử dụng,,9,awardList.expiryDate
使用時間,使用时间,Time of Usage,,เวลาใช้งาน,,4,使用時間,,4,사용 시간,,5,thời gian sử dụng,,9,awardList.usageTime
已使用,已使用,Used,,ใช้แล้ว,,3,使用済み,,3,사용된,,4,Đã sử dụng,,6,awardList.used
已逾期,已逾期,Overdue,,หนี้ที่ค้างชำระ,,3,期限切れ,,3,기한이 지난,,4,Quá hạn,,6,awardList.expired
永久使用,永久使用,Permanent Use,,การใช้ถาวร,,4,恒久的な使用,,4,영구적 인 사용,,5,Sử dụng vĩnh viễn,,9,awardList.useForever
推薦朋友 共同獲利,推荐朋友 共同获利,Recommend friends to make profits together.,,แนะนำเพื่อนเพื่อทำกำไรด้วยกัน,,9,一緒に利益を得るように友達をお勧めします,,8,친구들이 함께 이익을 추천합니다,,11,Đề nghị bạn bè cùng nhau lợi nhuận,,18,referralCodeShare.shareFriendTitle
交易越多賺越多，推薦好友投資，即可獲得獎勵唷,交易越多赚越多，推荐好友投资，即可获得奖励唷,"The more you trade, the more you earn. If you recommend a friend to invest, you can get rewards.",,ยิ่งทำธุรกรรมมากเท่าไหร่คุณก็จะได้รับรางวัลมากขึ้นและคุณจะได้รับรางวัลเมื่อคุณแนะนำให้เพื่อนลงทุน,,25,トランザクションが多いほど、稼ぐことが多くなり、友達に投資をお勧めすると報酬を得ることができます,,22,거래가 많을수록 더 많은 돈을 벌고 친구가 투자하도록 추천 할 때 보상을받을 수 있습니다.,,30,"Càng nhiều giao dịch, bạn càng kiếm được nhiều tiền và bạn có thể nhận được phần thưởng khi bạn giới thiệu bạn bè của mình để đầu tư",,49,referralCodeShare.shareFriendSubtitle
發送連結邀請,发送连结邀请,Send Invitation Link,,ส่งคำเชิญลิงค์,,7,リンクの招待状を送信します,,6,링크 초대를 보내십시오,,8,Gửi lời mời liên kết,,13,referralCodeShare.sendInviteLink
社群分享,社群分享,Community Sharing,,การแบ่งปันชุมชน,,4,コミュニティの共有,,4,커뮤니티 공유,,5,Chia sẻ cộng đồng,,9,referralCodeShare.communityShareTitle
已複製至剪貼板,已复制至剪贴板,Copied to Clipboard,,คัดลอกไปยังคลิปบอร์ด,,8,クリップボードにコピー,,7,클립 보드에 복사,,9,Sao chép vào clipboard,,15,"referralCodeShare.copyToClipboardSuccess,copyButton.copyToClipboardSuccess"
語言,语言,Language,,ภาษา,,2,言語,,2,언어,,2,ngôn ngữ,,4,"setting.languageTitle,languageSetting.appBarTitle"
系統,系统,System,,ระบบ,,2,システム,,2,체계,,2,hệ thống,,4,"setting.languageDefault,languageSetting.localeDefault"
漲跌顏色,涨跌颜色,Color of Ups and Downs,,สีของอัพและดาวน์,,4,浮き沈みの色,,4,기복의 색상,,5,Màu sắc của thăng trầm,,9,setting.upDownColorTitle
通知設定,通知设定,Notification Settings,,การตั้งค่าการแจ้งเตือน,,4,通知設定,,4,알림 설정,,5,Thiết lập thông báo,,9,setting.notifySettingTitle
檢查更新,检查更新,Check for Updates,,ตรวจสอบสำหรับการอัพเดต,,4,アップデートを確認,,4,업데이트 확인,,5,Kiểm tra cập nhật,,9,setting.checkUpdateTitle
當前版本,当前版本,Current Version,,เวอร์ชันปัจจุบัน,,4,現行版,,4,현재 버전,,5,Phiên bản hiện tại,,9,setting.currentVersionTitle
清理緩存,清理缓存,Clear Cache,,ทำความสะอาดแคช,,4,キャッシュをクリーンアップします,,4,캐시를 정리하십시오,,5,Làm sạch bộ nhớ cache,,9,setting.clearCacheTitle
清除快取失敗,清除快取失败,Failed to clear cache,,ล้างความล้มเหลวของคอลเลกชันอย่างรวดเร็ว,,7,迅速な収集の障害を明確にします,,6,빠른 수집 실패를 명확하게합니다,,8,Xóa lỗi bộ sưu tập nhanh,,13,setting.errorClearCacheFail
綠漲紅跌,绿涨红跌,Green Up and Red Down,,สีเขียวเพิ่มขึ้นและแดง,,4,緑の上昇と赤,,4,녹색 상승과 빨간색,,5,Tăng màu xanh lá cây và màu đỏ,,9,"setting.upGreenDownRed,upDownColorSetting.upGreenDownRed"
紅漲綠跌,红涨绿跌,Red Up and Green Down,,เพิ่มขึ้นสีแดงและสีเขียวลง,,4,赤い上昇と緑,,4,빨간 상승과 녹색,,5,Red Rise và Green Down,,9,"setting.upRedDownGreen,upDownColorSetting.upRedDownGreen"
已是最新版本,已是最新版本,It is the latest version.,,เวอร์ชันล่าสุดแล้ว,,7,すでに最新バージョン,,6,이미 최신 버전입니다,,8,Đã là phiên bản mới nhất,,13,setting.versionIsNewest
已清理 {size} MB,已清理 {size} MB,Cleared {size} MB,,ทำความสะอาด {size} mb,,5 + ?,Cleanned {size} mb,,5 + ?,청소 {size} mb,,7 + ?,Làm sạch {size} MB,,11 + ?,setting.clearCacheToast
尚無緩存需要清理,尚无缓存需要清理,No cache to clear yet,,ไม่จำเป็นต้องทำความสะอาดแคช,,9,キャッシュをクリーンアップする必要はありません,,8,캐시를 정리할 필요가 없습니다,,11,Không có bộ nhớ cache cần được làm sạch,,18,setting.noCacheNeedClean
伺服器線路,,Server Line,,,,5,,,5,,,7,,,11,"setting.serverLine,serverLineSetting.title"
請先登入,请先登入,Please log in.,,กรุณาเข้าสู่ระบบก่อน,,4,最初にログインしてください,,4,먼저 로그인하시기 바랍니다,,5,Vui lòng đăng nhập đầu tiên,,9,"common.loginFirst,requestError.noAuth"
聯匯,联汇,Linked Exchange Rate System,,สัมมนา,,2,セミナー,,2,세미나,,2,Hội thảo,,4,common.appName
模擬交易下無法使用此功能,模拟交易下无法使用此功能,This function cannot be used when performing demo transactions.,,ฟังก์ชั่นนี้ไม่สามารถใช้ภายใต้ธุรกรรมการจำลอง,,14,この機能は、シミュレーショントランザクションでは使用できません,,12,이 기능은 시뮬레이션 트랜잭션에서 사용할 수 없습니다,,16,Chức năng này không thể được sử dụng theo giao dịch mô phỏng,,27,common.notInSimulated
確認,确认,Confirm,,การยืนยัน,,2,確認,,2,확인,,2,xác nhận,,4,"common.confirm,receiveAwardPopup.confirmButton,listScrollSheet.confirmButton"
功能關閉中,功能关闭中,Function is off.,,การปิดฟังก์ชั่น,,5,機能シャットダウン,,5,기능 종료,,7,Tắt chức năng,,11,common.futureClosed
$,$,$,,ดอลล่าร์,,1,米ドル,,1,USD,,1,đô la Mỹ,,2,common.priceUnit
手,手,lot,,มือ,,1,手,,1,손,,1,tay,,2,common.lotsUnit
X,X,X,,x,,1,バツ,,1,엑스,,1,X,,2,common.leverUnit
登出,登出,Log out,,ออกจากระบบ,,2,サインアウト,,2,로그 아웃하십시오,,2,Đăng xuất,,4,common.logout
追蹤止損,追踪止损,Trailing Stop,,ติดตามการสูญเสียหยุด,,4,追跡された停止損失,,4,추적 스톱 손실,,5,Theo dõi dừng mất,,9,"common.trailingStop,positionModify.trailingStopTitle"
請先綁定手機,请先绑定手机,Please connect your phone first,,,,7,,,6,,,8,,,13,common.bindPhoneFirst
刪除,删除,Delete,,ลบ,,2,消去,,2,삭제,,2,xóa bỏ,,4,"futuresCustomEdit.delete,agentReferralCodeList.descriptionPopup.deleteButton,agentReferralCodeFunctionPopup.deleteButton"
自選編輯,自选编辑,Optional Editing,,แก้ไข,,4,編集,,4,편집하다,,5,Chỉnh sửa,,9,futuresCustomEdit.appBarTitle
變更成功,变更成功,Successful Change,,เปลี่ยนได้สำเร็จ,,4,うまく変更されます,,4,성공적으로 변경하십시오,,5,Thay đổi thành công,,9,futuresCustomEdit.changeSuccess
拖動,拖动,Drag,,ลาก,,2,引っ張る,,2,견인,,2,lôi kéo,,4,futuresCustomEdit.drag
創建價格提醒,创建价格提醒,Create Price Reminder,,สร้างการเตือนราคา,,7,価格リマインダーを作成します,,6,가격 알림을 만듭니다,,8,Tạo lời nhắc giá,,13,futuresAlert.appBarTitle
當,当,Remind me,,เมื่อไร,,1,いつ,,1,언제,,1,khi nào,,2,futuresAlert.titleTip
達到以下價格時提醒我,达到以下价格时提醒我,when the following prices are reached.,,เตือนฉันเมื่อถึงราคาต่อไปนี้,,11,次の価格に達したときに思い出させてください,,10,다음 가격에 도달 할 때 상기시켜주십시오,,14,Nhắc tôi khi đạt được mức giá sau đây,,22,futuresAlert.alertWhenPrice
提醒列表,提醒列表,Reminder List,,รายการเตือนความจำ,,4,リマインダーリスト,,4,알림 목록,,5,Danh sách nhắc nhở,,9,futuresAlert.alertList
創建提醒成功,创建提醒成功,Reminder created successfully,,สร้างความสำเร็จในการเตือนความจำ,,7,リマインダーの成功を作成します,,6,알림 성공을 만듭니다,,8,Tạo thành công nhắc nhở,,13,futuresAlert.createSuccess
已成功刪除提醒,已成功删除提醒,Reminder deleted successfully,,การแจ้งเตือนจะถูกลบออกเรียบร้อยแล้ว,,8,リマインダーは正常に削除されます,,7,알림이 성공적으로 삭제됩니다,,9,Nhắc nhở đã bị xóa thành công,,15,futuresAlert.removeSuccess
設置提醒,设置提醒,Set reminders,,,,4,,,4,,,5,,,9,futuresAlert.setReminder
我的委託,我的委托,My Order,,ค่าคอมมิชชั่นของฉัน,,4,私の委員会,,4,내 커미션,,5,Hoa hồng của tôi,,9,futuresDetail.bottomSheet.header
尚無掛單,尚无挂单,No order yet,,ไม่มีคำสั่งแขวน,,4,ハンギングオーダーはありません,,4,교수형 주문이 없습니다,,5,Không có thứ tự treo,,9,"futuresDetail.bottomSheet.orderEmptyTip,orders.emptyTip"
價格漲跌幅,价格涨跌幅,Price change,,การเพิ่มขึ้นและลดราคา,,5,価格の上昇,,5,가격 상승 및 하락,,7,Tăng giá và giảm,,11,futuresDetail.dataTab.priceChangeRate
5分鐘,5分钟,5 Minutes,,5 นาที,,3,5分,,3,5 분,,4,5 phút,,6,futuresDetail.dataTab.minute5
1小時,1小时,1 Hour,,1 ชั่วโมง,,3,1時間,,3,1 시간,,4,1 giờ,,6,"futuresDetail.dataTab.hour1,futuresChart.chartHour1"
今日,今日,Today,,วันนี้,,2,今日,,2,오늘,,2,hôm nay,,4,futuresDetail.dataTab.today
價格變化區間,价格变化区间,Price Range,,การเปลี่ยนแปลงราคา,,7,価格の変化,,6,가격 변화,,8,Thay đổi giá,,13,futuresDetail.dataTab.priceChangeValue
最低價,最低价,Lowest Price,,ราคาต่ำสุด,,3,最低価格,,3,최소 가격,,4,Giá tối thiểu,,6,futuresDetail.dataTab.lowPrice
最高價,最高价,Highest Price,,ราคาสูงสุด,,3,最高価格,,3,최고 가격,,4,Giá cao nhất,,6,futuresDetail.dataTab.highPrice
成交量,成交量,Volume,,ปริมาณธุรกรรม,,3,トランザクションボリューム,,3,거래량,,4,Khối lượng giao dịch,,6,"futuresDetail.dataTab.volume,futuresChart.volume"
展開,展开,Expand,,การพัฒนา,,2,展開,,2,개발,,2,Sự phát triển,,4,"futuresDetail.recentTransactionUnfoldLabel,futuresContract.tableValueUnfold"
已加入個人自訂品種,已加入个人自订品种,A custom variety has been added.,,มีการเพิ่มพันธุ์ที่กำหนดเองส่วนบุคคล,,10,個人的なカスタマイズされた品種が追加されました,,9,개인 맞춤형 품종이 추가되었습니다,,12,Các giống tùy chỉnh cá nhân đã được thêm vào,,20,"futuresDetail.addFavoriteSuccess,futuresChartFullScreen.addFavoriteSuccess"
已移除個人自訂品種,已移除个人自订品种,A custom variety has been removed.,,พันธุ์ที่กำหนดเองส่วนบุคคลได้ถูกลบออก,,10,個人的なカスタマイズされた品種が削除されました,,9,개인 맞춤형 품종이 제거되었습니다,,12,Các giống tùy chỉnh cá nhân đã bị xóa,,20,"futuresDetail.removeFavoriteSuccess,futuresChartFullScreen.removeFavoriteSuccess"
委買量,委买量,Purchase Volume,,ปริมาณ,,3,音量,,3,용량,,4,Âm lượng,,6,futuresDetail.buyInVolume
委賣量,委卖量,Commission Volume,,ปริมาณการขาย,,3,販売量,,3,판매량,,4,Khối lượng bán hàng,,6,futuresDetail.sellOutVolume
縮起,缩起,Shrink up,,หด,,2,縮む,,2,수축,,2,Co lại,,4,futuresDetail.recentTransactionFoldLabel
行情,行情,Market,,ตลาด,,2,市場,,2,시장,,2,Thị trường,,4,futuresDetail.tabChart
數據,数据,Data,,ข้อมูล,,2,データ,,2,데이터,,2,dữ liệu,,4,futuresDetail.tabData
詳情,详情,Details,,รายละเอียด,,2,詳細,,2,세부 사항,,2,Chi tiết,,4,futuresDetail.tabContract
交易中,交易中,Trading,,ในการทำธุรกรรม,,3,トランザクション,,3,거래에서,,4,trong giao dịch,,6,futuresDetail.inTradingTime
僅接受掛單,仅接受挂单,Only orders are accepted.,,ยอมรับรายการเท่านั้น,,5,リストのみを受け入れます,,5,목록 만 수락하십시오,,7,Chỉ chấp nhận danh sách,,11,futuresDetail.onlyLimitOrder
"此交易為全倉交易，虧損金額會超過保證金金額。

當持續虧損導致賬戶達到強平線時，其他訂單將會被陸續強平，賬戶資金將全部虧損！

建議您設定止盈和止損價格，能夠更有效率的控制資金情況！","此交易为全仓交易，亏损金额会超过保证金金额。

当持续亏损导致账户达到强平线时，其他订单将会被陆续强平，账户资金将全部亏损！

建议您设定止盈和止损价格，能够更有效率的控制资金情况！","This is a cross leverage transaction, and the loss amount can exceed the margin amount. 

When continuous losses cause the account to reach the liquidation line, other orders will be liquidated one after another, and all the account funds will be lost! 

It is recommended that you set take profit and stop loss prices to control the funds more efficiently!",,"การทำธุรกรรมนี้เป็นธุรกรรมตำแหน่งเต็มรูปแบบและจำนวนการสูญเสียจะเกินจำนวนเงินฝาก

เมื่อการสูญเสียอย่างต่อเนื่องทำให้บัญชีไปถึงเส้นแบนที่แข็งแกร่งคำสั่งซื้ออื่น ๆ จะแบนอย่างยิ่งและกองทุนบัญชีทั้งหมดจะหายไป!

ขอแนะนำให้คุณตั้งค่ากำไรและหยุดราคาขาดทุนเพื่อควบคุมสถานการณ์เงินทุนได้อย่างมีประสิทธิภาพมากขึ้น!",,102,"このトランザクションはフルポジショントランザクションであり、損失額は預金額を超えます。

継続的な損失がアカウントが強力なフラットラインに到達すると、他の注文が強くフラットになり、すべてのアカウントファンドが失われます！

資本の状況をより効率的に制御するために、利益を設定し、損失価格を停止することをお勧めします！",,87,"이 거래는 전체 위치 거래이며 손실 금액은 예금 금액을 초과합니다.

지속적인 손실로 인해 계정이 강한 플랫 라인에 도달하게하면 다른 주문이 크게 평평 해지고 모든 계정 자금이 손실됩니다!

자본 상황을보다 효율적으로 통제하기 위해 이익 제작 및 손실 가격을 중단하는 것이 좋습니다!",,121,"Giao dịch này là một giao dịch vị trí đầy đủ và số tiền thua lỗ sẽ vượt quá số tiền gửi.

Khi tổn thất liên tục khiến tài khoản đạt đến đường phẳng mạnh, các đơn đặt hàng khác sẽ rất bằng phẳng và tất cả các quỹ tài khoản sẽ bị mất!

Chúng tôi khuyên bạn nên thiết lập lợi nhuận và giảm giá lỗ để kiểm soát tình hình vốn hiệu quả hơn!",,195,futuresDetail.fullWarehouseTipContent
